afq_1,0.54493888,0.29940182,0.28818937,cognitive
afq_2,0.61261209,0.35003535,0.29155039,cognitive
afq_3,0.55800068,0.20252419,0.29649412,cognitive
afq_4,0.46896903,0.22523692,0.22301031,cognitive
afq_5,0.43145811,0.08307345,0.31320558,cognitive
afq_6,0.65545464,0.2597885,0.35045679,cognitive
afq_7,0.58631845,0.19266827,0.30800824,cognitive
afq_8,0.64438037,0.2912135,0.28443367,cognitive
afq_9,0.67168843,0.28482544,0.33322023,cognitive
afq_10,0.70230563,0.34784826,0.30491137,cognitive
afq_11,0.60785717,0.26428807,0.33039567,cognitive
afq_12,0.62030089,0.32799699,0.23979947,cognitive
afq_13,0.47069127,0.15703539,0.2268923,cognitive
afq_14,0.62708731,0.17794182,0.27854351,cognitive
afq_15,0.50437367,0.247992,0.21368941,cognitive
afq_16,0.70168861,0.41530968,0.26084594,cognitive
afq_17,0.62169609,0.3801648,0.25553756,cognitive
afq_18,0.66367514,0.29709864,0.28569877,cognitive
afq_19,0.64379564,0.19833481,0.34827356,cognitive
afq_20,0.54222548,0.17432595,0.34395346,cognitive
afq_21,0.66222252,0.24660127,0.29817956,cognitive
afq_22,0.72116551,0.24551343,0.38858698,cognitive
afq_23,0.42952579,0.15373566,0.20868895,cognitive
afq_24,0.61579489,0.21599513,0.29958015,cognitive
afq_25,-0.10220275,-0.0202506,-0.06894756,cognitive
afq_26,0.04224339,0.09732869,0.03780325,cognitive
afq_27,-0.02620007,0.10535147,-0.01441346,cognitive
afq_28,0.53341364,0.35471373,0.17562622,cognitive
afq_30,0.56793659,0.23079216,0.30826517,physical
afq_31,0.59973926,0.31423966,0.24511732,physical
afq_32,0.55487082,0.12479048,0.35663059,physical
afq_33,0.5438994,0.13887669,0.3316005,physical
afq_34,0.55629996,0.13494438,0.34907474,physical
afq_35,0.60731322,0.16644946,0.36034183,physical
afq_36,0.62433725,0.12135128,0.36607458,physical
afq_37,0.61551014,0.16795166,0.39027549,physical
afq_38,0.58940346,0.29065793,0.26380047,physical
afq_39,0.49862204,0.2157559,0.22796838,physical
afq_40,0.57672109,0.24177266,0.2547919,physical
afq_41,0.59663904,0.15886861,0.35595173,physical
afq_42,0.6985514,0.2570819,0.3219689,physical
afq_43,0.62530485,0.1423749,0.34218992,physical
afq_44,0.71345363,0.30249401,0.36130146,physical
afq_45,0.67245255,0.29744178,0.31189458,physical
afq_46,0.68013018,0.27092208,0.38220298,physical
afq_47,0.67485373,0.32966226,0.35181892,physical
afq_48,0.48113808,0.13282812,0.29936466,physical
afq_49,0.62048684,0.25473532,0.36770606,physical
afq_50,0.4827742,0.11758728,0.30927068,physical
afq_51,0.57202726,0.14956886,0.34240109,physical
afq_52,0.66233445,0.22971625,0.34157065,physical
afq_53,0.64461285,0.21127432,0.30928584,physical
afq_54,0.62470418,0.19648138,0.26843506,physical
afq_55,0.59345942,0.17072944,0.42665389,physical
afq_56,0.55441386,0.1508668,0.39538037,physical
afq_57,0.66092772,0.36068187,0.30116394,physical
afq_58,0.5632227,0.25374557,0.20245066,social
afq_59,0.55505235,0.31358867,0.24565762,social
afq_60,0.49994306,0.31366282,0.216514,social
afq_61,0.6325784,0.36730572,0.2743919,social
afq_62,0.62252187,0.35783916,0.33824489,social
afq_63,0.54949823,0.31443582,0.28147414,social
afq_64,0.63364199,0.26077378,0.33843298,social
afq_65,0.61108355,0.2585277,0.26993785,social
afq_66,0.65460119,0.27057882,0.29418784,social
afq_67,0.59403693,0.21720126,0.29711621,social
afq_68,0.60410542,0.2943564,0.29839676,social
afq_69,0.64115898,0.24612443,0.28356075,social
afq_70,0.58417692,0.30746985,0.25197968,social